price,price_per_meter,elevator,parking,storage,location_encoded,floor_number,area
150000000000,283018000,1.0,1.0,1.0,75,12.0,430.0
2990000000,28476000,1.0,1.0,1.0,3,5.0,105.0
7900000000,77450000,1.0,1.0,1.0,93,5.0,103.0
16800000000,140000000,1.0,1.0,1.0,100,5.0,120.0
18000000000,133333000,1.0,1.0,1.0,1,4.0,135.0
5900000000,98333000,0.0,0.0,1.0,113,0.0,57.0
2600000000,26000000,1.0,1.0,1.0,32,8.0,100.0
13800000000,145263000,1.0,1.0,1.0,64,3.0,92.0
4200000000,62686000,0.0,0.0,1.0,119,4.0,67.0
4890000000,95882000,0.0,0.0,1.0,64,4.0,51.0
20800000000,154074000,1.0,1.0,1.0,8,3.0,135.0
14100000000,114634000,1.0,1.0,1.0,64,5.0,123.0
48600000000,180000000,1.0,1.0,1.0,33,3.0,270.0
3900000000,67241000,0.0,1.0,1.0,24,3.0,58.0
20000000000,166666000,1.0,0.0,1.0,78,1.0,120.0
77000000000,285185000,1.0,1.0,1.0,75,7.0,270.0
2150000000,45744000,0.0,0.0,1.0,120,-1.0,47.0
2850000000,69512000,0.0,0.0,1.0,26,2.0,41.0
25300000000,210833000,1.0,1.0,1.0,42,5.0,120.0
26300000000,169677000,1.0,1.0,1.0,47,2.0,155.0
7600000000,71028000,1.0,1.0,1.0,121,3.0,107.0
6100000000,84722000,1.0,1.0,1.0,17,1.0,72.0
3800000000,76000000,0.0,0.0,1.0,122,4.0,50.0
10000000000,107526000,1.0,1.0,1.0,111,2.0,93.0
18000000000,150000000,1.0,1.0,1.0,67,6.0,120.0
11700000000,130000000,1.0,1.0,1.0,19,2.0,90.0
1830000000,30000000,1.0,1.0,1.0,29,3.0,61.0
10400000000,125301000,1.0,1.0,1.0,90,5.0,83.0
17000000000,188888000,1.0,1.0,1.0,67,3.0,90.0
6950000000,82738000,0.0,1.0,1.0,63,2.0,84.0
17200000000,120279000,0.0,0.0,1.0,123,1.0,143.0
10300000000,128750000,1.0,1.0,1.0,25,1.0,80.0
15200000000,118750000,1.0,1.0,1.0,28,3.0,125.0
8600000000,74782000,1.0,1.0,1.0,63,3.0,115.0
